Drug	GeneID
Methyprylon	2568
Acamprosate	2568
Clorazepic acid	2568
Glutethimide	2568
Lorazepam	2568
Halothane	2568
Prazepam	2568
Meprobamate	2568
Ethchlorvynol	2568
Diazepam	2568
Eszopiclone	2568
Primidone	2568
Propofol	2568
Bromazepam	2568
Chlordiazepoxide	2568
Clotiazepam	2568
Clobazam	2568
Apalutamide	2568
Phenytoin	2568
Flumazenil	2568
Amoxapine	2568
Ethanol	2568
Taurine	2568
Memantine	2568
Fostamatinib	5287
Biotin	32
Adenine	32
Pyridoxine	8566
Pyridoxine	105372824
Succinic acid	6392
Hexachlorophene	6392
Zinc acetate	26330
Zinc chloride	26330
NADH	26330
Zinc	26330
NADH	4706
Fostamatinib	11113
Hyaluronic acid	1463
Zinc acetate	9973
Zinc chloride	9973
Zinc	9973
Epirubicin	1105
Halothane	3777
Doxapram	3777
Glycerin	1787
Pentamidine	1787
Fostamatinib	8780
Lithium citrate	3613
Lithium carbonate	3613
Zidovudine	7015
Succinic acid	8630
Fostamatinib	1111
Ethanol	2563
Prasterone	2563
Memantine	2563
Sevoflurane	2563
Ethchlorvynol	2563
Estazolam	2563
Alprazolam	2563
Chlordiazepoxide	2563
Bromazepam	2563
Propofol	2563
Triazolam	2563
Acamprosate	2563
Butabarbital	2563
Lamotrigine	2563
Oxazepam	2563
Clonazepam	2563
Methoxyflurane	2563
Eszopiclone	2563
Pentobarbital	2563
Apalutamide	2563
Flumazenil	2563
Prazepam	2563
Quazepam	2563
Lorazepam	2563
Temazepam	2563
Flurazepam	2563
Desflurane	2563
Clotiazepam	2563
Diazepam	2563
Primidone	2563
Halothane	2563
Taurine	2563
Clorazepic acid	2563
Brexanolone	2563
Clobazam	2563
Enflurane	2563
Stiripentol	2563
Amoxapine	2563
Halazepam	2563
Nitrazepam	2563
Medroxyprogesterone acetate	2563
Meprobamate	2563
Isoflurane	2563
Etomidate	2563
Butalbital	2563
Talbutal	2563
Methyprylon	2563
Phenytoin	2563
Ketazolam	2563
Glutethimide	2563
Palifermin	8829
Pegaptanib	8829
Lenalidomide	8600
Denosumab	8600
Zinc	8542
Zinc acetate	8542
Zinc chloride	8542
Moroctocog alfa	5264
Ascorbic acid	5264
Antihemophilic factor, human recombinant	5264
Lonoctocog alfa	5264
Glutamic acid	26873
Icosapent	2864
Glutathione	4259
Arsenic trioxide	3551
Auranofin	3551
Acetylsalicylic acid	3551
Mesalazine	3551
Fostamatinib	3551
Sulfasalazine	3551
Acetylcysteine	3551
Fostamatinib	8573
Choline	5338
Choline salicylate	5338
Calcium phosphate dihydrate	845
Calcium Citrate	845
Calcium Phosphate	845
Citric acid	9146
Fostamatinib	6790
Fostamatinib	2580
Selinexor	7514
Glutamic acid	5198
Fostamatinib	9201
Mesalazine	1147
Sulfasalazine	1147
Acetylcysteine	1147
Aminosalicylic acid	1147
Fostamatinib	4593
Glutathione	2941
NADH	4694
Fostamatinib	5603
Pyridoxal phosphate	10558
Pyridoxal phosphate	9517
Zinc acetate	10572
Zinc chloride	10572
Zinc	10572
Zinc acetate	7161
Zinc	7161
Zinc chloride	7161
Pyruvic acid	9122
Pyruvic acid	9121
Vorinostat	8841
Panobinostat	8841
Belinostat	8841
Pyridoxal phosphate	587
Glutamic acid	587
Reserpine	332
Berberine	332
Prasterone	2906
Glutamic acid	2906
Acetylcysteine	2906
Magnesium carbonate	2906
Tramadol	2906
Memantine	2906
Guaifenesin	2906
Milnacipran	2906
Aripiprazole	2906
Atomoxetine	2906
Meperidine	2906
Methadone	2906
Magnesium acetate tetrahydrate	2906
Secobarbital	2906
Esketamine	2906
Pentobarbital	2906
Orphenadrine	2906
Donepezil	2906
Phenobarbital	2906
Fluciclovine (18F)	2906
Acamprosate	2906
Pyruvic acid	9120
Pyruvic acid	9123
Curcumin	10057
Succinic acid	8974
Crotalus adamanteus antivenin	8399
Agkistrodon piscivorus antivenin	8399
Alfacalcidol	1594
Celecoxib	5170
Fostamatinib	5170
Clotrimazole	3783
Enflurane	3783
Halothane	3783
Procaine	3783
Miconazole	3783
Quinine	3783
Trimebutine	3783
Tretinoin	1592
NADH	26227
NADH	4724
Erythromycin	2862
Ornithine	6545
L-Lysine	6545
Glycerin	9061
Fostamatinib	9175
Fostamatinib	1613
Fostamatinib	8767
Glutamic acid	2895
Miglitol	8972
Acarbose	8972
Verapamil	8913
Ethosuximide	8913
Manidipine	8913
Zonisamide	8913
Butamben	8913
Bioallethrin	8913
Ergocalciferol	8913
Flunarizine	8913
Trimethadione	8913
Spironolactone	8913
Cinnarizine	8913
Methsuximide	8913
Cannabidiol	8913
Trimebutine	8913
Ezogabine	3786
Amitriptyline	3786
Meclofenamic acid	3786
Gabapentin	3786
Ezogabine	3785
Amitriptyline	3785
Meclofenamic acid	3785
Benzthiazide	771
Hydroflumethiazide	771
Acetazolamide	771
Zonisamide	771
Pidolic acid	3060
Suvorexant	3061
Lemborexant	3061
Suvorexant	3062
Lemborexant	3062
Palmitic Acid	27095
NADH	4711
NADH	4709
NADH	4717
NADH	4695
Glutathione	2954
Dichloroacetic acid	2954
Acetylsalicylic acid	5565
Fostamatinib	5565
Adenosine phosphate	5565
Lipoic acid	11019
Levocarnitine	788
Asparagine	4677
NADH	3420
NADH	4725
Sulindac	57016
Fostamatinib	9891
Butamben	10368
Bioallethrin	10368
Spironolactone	10368
Ergocalciferol	10368
Esketamine	116444
Memantine	116444
Guaifenesin	116444
Tramadol	116444
Acamprosate	116444
Glutamic acid	116444
Glycine	116444
Secobarbital	116444
Magnesium acetate tetrahydrate	116444
Prasterone	116444
Aripiprazole	116444
Magnesium carbonate	116444
Orphenadrine	116444
Pentobarbital	116444
Methadone	116444
Milnacipran	116444
Fluciclovine (18F)	116444
Atomoxetine	116444
Halothane	116444
Donepezil	116444
Phenobarbital	116444
Icosapent	3992
alpha-Linolenic acid	3992
Rosiglitazone	2182
Icosapent	2182
Troglitazone	2182
Hydroxocobalamin	8029
Streptozocin	10724
N-Acetylglucosamine	8703
N-Acetylglucosamine	8702
Succinic acid	8985
Ascorbic acid	8985
Tuberculin Purified Protein Derivative	7097
Lyme disease vaccine (recombinant OspA)	7097
Phenolphthalein	54600
Caffeine	5151
Galsulfase	10226
Idursulfase	10226
Pyruvic acid	9194
Fedratinib	3717
Tofacitinib	3717
Fostamatinib	3717
Baricitinib	3717
Zanubrutinib	3717
Entrectinib	3717
Ruxolitinib	3717
Copper	7358
NADH	7358
Nicorandil	10060
Glyburide	10060
Glutathione	27306
Glycerin	27306
Vitamin A	27306
Tretinoin	27306
Thiamine	10560
Manidipine	778
Bioallethrin	778
Lacidipine	778
Ergocalciferol	778
Dronedarone	778
Butamben	778
Spironolactone	778
Topiramate	778
Nimodipine	778
Trimebutine	778
Cinnarizine	778
Clevidipine	778
Levomenthol	778
Phenytoin	778
Fish oil	778
Ranolazine	778
Pramlintide	10267
Pramlintide	10266
Pramlintide	10268
N-Acetylglucosamine	8704
Cystine	1497
Dichlorobenzyl alcohol	6327
Ranolazine	6327
Oxcarbazepine	6327
Valproic acid	6327
Brivaracetam	6327
Fish oil	6327
Zonisamide	6327
Isopropyl alcohol	8732
Palivizumab	2215
Alemtuzumab	2215
Alefacept	2215
Muromonab	2215
Catumaxomab	2215
Gemtuzumab ozogamicin	2215
Basiliximab	2215
Sarilumab	2215
Ibritumomab tiuxetan	2215
Trastuzumab	2215
Natalizumab	2215
Human immunoglobulin G	2215
Etanercept	2215
Abciximab	2215
Bevacizumab	2215
Cetuximab	2215
Efalizumab	2215
Tositumomab	2215
Fostamatinib	9475
Netarsudil	9475
NADH	374291
NADH	4720
Ivermectin	8001
Glycine	8001
Taurine	8001
Cannabidiol	8001
Lindane	8001
Memantine	8001
Hyaluronic acid	3161
Calcium Phosphate	10016
Calcium	10016
Zinc chloride	10016
Calcium phosphate dihydrate	10016
Calcium Citrate	10016
Zinc acetate	10016
Zinc	10016
NADH	4726
Fostamatinib	8408
Citric acid	1431
NADH	4707
Fostamatinib	2081
Chenodeoxycholic acid	8856
Ethinylestradiol	8856
Clotrimazole	8856
Pregnenolone	8856
Oxiconazole	8856
Pyrethrum extract	8856
Ritonavir	8856
Spironolactone	8856
Lindane	8856
Nifedipine	8856
Ethotoin	8856
Phenytoin	8856
Estradiol acetate	8856
Pentobarbital	8856
Rifampicin	8856
Warfarin	8856
Flutamide	8856
Resveratrol	8856
Troleandomycin	8856
Methylphenobarbital	8856
Phenobarbital	8856
Fenofibric acid	8856
Estradiol dienanthate	8856
Rilpivirine	8856
Rifaximin	8856
Sulfinpyrazone	8856
Fenofibrate	8856
Phenolphthalein	8856
Myrrh	8856
Paclitaxel	8856
Diethylstilbestrol	8856
D-alpha-Tocopherol acetate	8856
Permethrin	8856
Estradiol valerate	8856
Vitamin E	8856
Bezafibrate	8856
Dexamethasone	8856
Estradiol benzoate	8856
Econazole	8856
alpha-Tocopherol succinate	8856
Carbamazepine	8856
Clonazepam	8856
Ketoconazole	8856
Mifepristone	8856
Docetaxel	8856
Tamoxifen	8856
Erlotinib	8856
Estradiol cypionate	8856
Cyclophosphamide	8856
Mephenytoin	8856
Miconazole	8856
Ifosfamide	8856
Prasterone	8856
Estradiol	8856
Triclosan	8856
NADH	4722
Zonisamide	770
Pyridoxal phosphate	23464
Glycine	23464
Zinc acetate	8547
Zinc chloride	8547
Zinc	8547
Flavin mononucleotide	8986
Glutathione	2880
Fostamatinib	8576
Aspartic acid	8604
Fostamatinib	5288
Butamben	8989
Levomenthol	8989
Cannabidiol	8989
Camphor	8989
Calcium Citrate	10518
Calcium phosphate dihydrate	10518
Calcium Phosphate	10518
Ivosidenib	3417
Glutamic acid	5188
Copper	6341
gamma-Aminobutyric acid	9568
Baclofen	9568
Vitamin A	9249
Fostamatinib	5063
Ascorbic acid	8424
Succinic acid	8424
alpha-Tocopherol succinate	23541
Vitamin E	23541
D-alpha-Tocopherol acetate	23541
Palmitic Acid	23541
Theophylline	8654
Vardenafil	8654
Caffeine	8654
Avanafil	8654
Tadalafil	8654
Pentoxifylline	8654
Dipyridamole	8654
Fostamatinib	8654
Citric acid	8654
Udenafil	8654
Sildenafil	8654
Levocarnitine	6584
Caffeine	5152
Citrulline	23576
Dexlansoprazole	23576
Pantoprazole	23576
Esomeprazole	23576
Fostamatinib	9262
Tretinoin	8854
NADH	8854
Vitamin A	8854
Fostamatinib	6793
Pyridoxal phosphate	11212
Glutamic acid	2744
Telaprevir	11309
Gemfibrozil	11309
Dofetilide	3776
Dronedarone	3776
NADH	4712
NADH	4696
NADH	4710
NADH	4714
NADH	4708
Butamben	8912
Bioallethrin	8912
Zonisamide	8912
Spironolactone	8912
Ergocalciferol	8912
Manidipine	8912
Verapamil	8912
Nitrendipine	8912
Trimebutine	8912
Cinnarizine	8912
Cannabidiol	8912
Amiodarone	8912
Isradipine	8912
Bepridil	8912
Nifedipine	8912
Felodipine	8912
Flunarizine	8912
NADH	4701
Ornithine	4947
Vitamin A	9227
Imipramine	3756
Astemizole	3756
Caffeine	8622
Dihydroergocornine	9177
Ergoloid mesylate	9177
Dihydroergocristine	9177
Dopamine	9177
Ethanol	9177
Paroxetine	9177
Gilteritinib	9177
Carvedilol	4718
NADH	4718
NADH	4705
Glyburide	8647
Clofazimine	8647
Phenylalanine	10667
Fostamatinib	9064
Pyridoxal phosphate	8879
Glyburide	19
Probucol	19
NADH	9563
Icosapent	2181
Aurothioglucose	111
Pseudoephedrine	4772
Levocabastine	23620
Diethylstilbestrol	2103
Flavone	2103
Fostamatinib	9943
Zoledronic acid	9453
Heparin	9965
Fostamatinib	9448
Flavin adenine dinucleotide	9131
Fostamatinib	9113
Glucagon	9340
Teduglutide	9340
alpha-Linolenic acid	9415
Citrulline	23564
Glutathione	51060
Pyruvic acid	23539
Pyridoxal phosphate	10841
Glutamic acid	10841
NADH	4716
Fostamatinib	10298
Fostamatinib	11200
Chromium gluconate	1528
Chromium nicotinate	1528
Chromic nitrate	1528
Chromous sulfate	1528
Chromium	1528
Fomepizole	125
Glycerin	125
NADH	125
NADH	126
Cholic Acid	126
Fomepizole	126
NADH	3939
Copper	3939
Stiripentol	3939
Nicotinamide	3939
Tretinoin	216
Vitamin A	216
NADH	216
Aluminum chloride	2746
Glutamic acid	2746
NADH	2746
Hexachlorophene	2746
Gentamicin	1719
NADH	1719
Pralatrexate	1719
Trimethoprim	1719
Proguanil	1719
Trimetrexate	1719
Pemetrexed	1719
Pyrimethamine	1719
Methotrexate	1719
Copper	1727
NADH	1727
Flavin adenine dinucleotide	1727
Glutathione	2936
Cannabidiol	2936
Flavin adenine dinucleotide	2936
Carmustine	2936
Glutathione disulfide	2936
NADH	2936
Copper	2936
Oxygen	4512
Cholic Acid	4512
Cholic Acid	4513
Cholic Acid	4514
Norepinephrine	5053
Droxidopa	5053
Phenylalanine	5053
Sapropterin	5053
Cannabidiol	6647
Zinc chloride	6647
Dopamine	6647
Isoprenaline	6647
Zinc acetate	6647
Zinc	6647
Zinc acetate	1356
Ferrous fumarate	1356
Ferrous gluconate	1356
Calcium	1356
Zinc chloride	1356
Silver	1356
Drotrecogin alfa	1356
Ferrous ascorbate	1356
Ferrous succinate	1356
Ferrous glycine sulfate	1356
Iron	1356
Zinc	1356
Damoctocog alfa pegol	2157
Vonicog Alfa	2157
Nonacog beta pegol	2157
Coagulation Factor IX Human	2157
Thrombin	2157
Von Willebrand Factor Human	2157
Human Thrombin	2157
Thrombin alfa	2157
Drotrecogin alfa	2157
Coagulation Factor IX (Recombinant)	2157
Anti-inhibitor coagulant complex	2157
Ornithine	5009
Citrulline	5009
Human Thrombin	2162
Thrombin alfa	2162
Anti-inhibitor coagulant complex	2162
Prothrombin	2162
Thrombin	2162
Propylene glycol	2162
Cladribine	4860
Didanosine	4860
5-O-phosphono-alpha-D-ribofuranosyl diphosphate	3251
Mercaptopurine	3251
Azathioprine	3251
Aspartic acid	2806
Pyridoxal phosphate	2806
Glutamic acid	2806
Imatinib	25
Ponatinib	25
Regorafenib	25
Fostamatinib	25
Nilotinib	25
Bosutinib	25
Brigatinib	25
Dasatinib	25
Erlotinib	1956
Foreskin keratinocyte (neonatal)	1956
Necitumumab	1956
Vandetanib	1956
Cetuximab	1956
Fostamatinib	1956
Dacomitinib	1956
Osimertinib	1956
Gefitinib	1956
Zanubrutinib	1956
Neratinib	1956
Lapatinib	1956
Afatinib	1956
Panitumumab	1956
Brigatinib	1956
Lidocaine	1956
Trastuzumab	1956
Copper	5230
Palmitic Acid	3906
Turoctocog alfa	2147
Anti-inhibitor coagulant complex	2147
Turoctocog alfa pegol	2147
Menadione	2147
Kappadione	2147
Zinc chloride	2147
Thrombomodulin Alfa	2147
Human C1-esterase inhibitor	2147
Dabigatran etexilate	2147
Coagulation Factor IX Human	2147
Bivalirudin	2147
Ximelagatran	2147
Argatroban	2147
Coagulation Factor IX (Recombinant)	2147
Antithrombin Alfa	2147
Copper	2147
Zinc acetate	2147
Lepirudin	2147
Conestat alfa	2147
Zinc	2147
Drotrecogin alfa	2147
Proflavine	2147
Zinc acetate	3250
Zinc	3250
Zinc chloride	3250
Copper	3250
Emicizumab	2158
Antihemophilic factor human	2158
Antihemophilic factor, human recombinant	2158
Turoctocog alfa	2158
Turoctocog alfa pegol	2158
Moroctocog alfa	2158
Coagulation factor VII human	2158
Menadione	2158
Lonoctocog alfa	2158
Kappadione	2158
Apixaban	2159
Nonacog beta pegol	2159
Emicizumab	2159
Heparin	2159
Moroctocog alfa	2159
Turoctocog alfa	2159
Antithrombin Alfa	2159
Coagulation Factor IX (Recombinant)	2159
Betrixaban	2159
Protamine sulfate	2159
Bemiparin	2159
Antihemophilic factor, human recombinant	2159
Turoctocog alfa pegol	2159
Rivaroxaban	2159
Menadione	2159
Edoxaban	2159
Antihemophilic factor human	2159
Enoxaparin	2159
Fondaparinux	2159
Albutrepenonacog alfa	2159
Coagulation Factor IX Human	2159
Coagulation factor VII human	2159
Kappadione	2159
Protein S human	2159
Anti-inhibitor coagulant complex	2159
Coagulation factor VIIa Recombinant Human	2159
Lonoctocog alfa	2159
Tenecteplase	5340
Copper	5340
Urokinase	5340
Alteplase	5340
Streptokinase	5340
Reteplase	5340
Anistreplase	5340
Aminocaproic acid	5340
Tranexamic acid	5340
Aprotinin	5340
Zinc chloride	2161
Conestat alfa	2161
Human C1-esterase inhibitor	2161
Zinc acetate	2161
Zinc	2161
Ethanolamine oleate	2161
Amiloride	5328
Urokinase	5328
Conestat alfa	5327
Human C1-esterase inhibitor	5327
Dexibuprofen	5327
Iloprost	5327
Urokinase	5327
Aminocaproic acid	5327
Zinc acetate	629
Zinc	629
Zinc chloride	629
Minoxidil	5972
Lisinopril	5972
Aliskiren	5972
Dipyridamole	100
Pentostatin	100
Estradiol benzoate	4508
Estradiol valerate	4508
Estradiol acetate	4508
Estradiol dienanthate	4508
Estradiol cypionate	4508
Estradiol	4508
Topiramate	759
Amlodipine	759
Dorzolamide	759
Methyclothiazide	759
Quinethazone	759
Zonisamide	759
Ethinamate	759
Acetazolamide	759
Bendroflumethiazide	759
Benzthiazide	759
Trichlormethiazide	759
Hydroflumethiazide	759
Sodium carbonate	759
Methocarbamol	759
Chlorthalidone	759
Methazolamide	759
Diazoxide	759
Sodium sulfate	759
Brinzolamide	759
Cyclothiazide	759
Chlorothiazide	759
Diclofenamide	759
Benzthiazide	760
Zonisamide	760
Urea	760
Celecoxib	760
Quinethazone	760
Trichlormethiazide	760
Acetazolamide	760
Brinzolamide	760
Diclofenamide	760
Topiramate	760
Bendroflumethiazide	760
Chlorothiazide	760
Methyclothiazide	760
Ethinamate	760
Hydroflumethiazide	760
Diazoxide	760
Sodium sulfate	760
Sulpiride	760
Dorzolamide	760
Sodium carbonate	760
Valdecoxib	760
Methazolamide	760
Cyclothiazide	760
Furosemide	760
Aspartic acid	445
Citrulline	445
Heparin	462
Dalteparin	462
Protamine sulfate	462
Sulodexide	462
Fondaparinux	462
Bemiparin	462
Copper	462
Antithrombin III human	462
Tinzaparin	462
Enoxaparin	462
Danaparoid	462
Ardeparin	462
Nadroparin	462
Zinc acetate	5265
Copper	5265
Zinc	5265
Zinc chloride	5265
Zinc	12
Zinc acetate	12
Zinc chloride	12
Copper	183
Zinc acetate	183
Zinc chloride	183
Zinc	183
Silver	2
Cisplatin	2
Bacitracin	2
Zinc	2
Zinc acetate	2
Becaplermin	2
Ocriplasmin	2
Zinc chloride	2
Zinc chloride	718
Copper	718
Zinc	718
Zinc acetate	718
Human immunoglobulin G	718
Zinc acetate	727
Human immunoglobulin G	727
Zinc	727
Eculizumab	727
Zinc chloride	727
Copper	727
Ravulizumab	727
Copper	3827
Zinc chloride	3827
Zinc	3827
Zinc acetate	3827
Pseudoephedrine	2353
Nadroparin	2353
Acetylsalicylic acid	4609
Nadroparin	4609
Porfimer sodium	3949
Cholecystokinin	1950
Sucralfate	1950
Clenbuterol	4803
Oxytocin	5020
Loperamide	5443
Phentermine	4852
Zinc chloride	3630
Zinc acetate	3630
Zinc	3630
Oxetacaine	2520
Etanercept	4049
Foreskin keratinocyte (neonatal)	7124
Binimetinib	7124
Isopropyl alcohol	7124
Pomalidomide	7124
Glycyrrhizic acid	7124
Amrinone	7124
Etanercept	7124
Glucosamine	7124
Certolizumab pegol	7124
Epinephrine	7124
Golimumab	7124
Thalidomide	7124
Foreskin fibroblast (neonatal)	7124
Clenbuterol	7124
Adalimumab	7124
Pseudoephedrine	7124
Chloroquine	7124
Infliximab	7124
Glucosamine	3458
Foreskin fibroblast (neonatal)	3458
Olsalazine	3458
Foreskin keratinocyte (neonatal)	3458
Emapalumab	3458
Rilonacept	3552
Foreskin keratinocyte (neonatal)	3553
Binimetinib	3553
Minocycline	3553
Donepezil	3553
Canakinumab	3553
Rilonacept	3553
Gallium nitrate	3553
Basiliximab	3559
Aldesleukin	3559
Denileukin diftitox	3559
Zinc acetate	3512
Zinc chloride	3512
Zinc	3512
Zinc chloride	NA
Zinc	NA
Zinc acetate	NA
Copper	NA
Pidolic acid	NA
Ibalizumab	920
Antithymocyte immunoglobulin (rabbit)	920
Coccidioides immitis spherule	3105
Coccidioides immitis spherule	3122
Insulin pork	3117
Insulin pork	3118
Coccidioides immitis spherule	3123
Insulin pork	3119
Nitrous acid	4151
Carbon monoxide	4151
Vonicog Alfa	1277
Von Willebrand Factor Human	1277
Collagenase clostridium histolyticum	1277
Clove oil	1277
Collagenase clostridium histolyticum	1280
Collagenase clostridium histolyticum	1281
Zinc chloride	3861
Zinc	3861
Zinc acetate	3861
Zinc chloride	3853
Zinc acetate	3853
Zinc	3853
Calcium	7125
Felodipine	7125
Zinc chloride	335
Zinc	335
Copper	335
Zinc acetate	335
Zinc acetate	348
Zinc chloride	348
Copper	348
Zinc	348
Zinc chloride	336
Copper	336
Zinc acetate	336
Zinc	336
Copper	344
Copper	345
Thrombin	2243
Alteplase	2243
Sucralfate	2243
Ancrod	2243
Zinc	2243
Anistreplase	2243
Anti-inhibitor coagulant complex	2243
Thrombin alfa	2243
Prothrombin	2243
Reteplase	2243
Zinc acetate	2243
Human Thrombin	2243
Zinc chloride	2243
Tenecteplase	2243
Anti-inhibitor coagulant complex	2244
Human Thrombin	2244
Thrombin alfa	2244
Thrombin	2244
Prothrombin	2244
Sucralfate	2244
Thrombin	2266
Sucralfate	2266
Human Thrombin	2266
Thrombin alfa	2266
Oleic Acid	5375
Palmitic Acid	5375
Galantamine	1134
Copper	325
Zinc chloride	325
Zinc	325
Zinc acetate	325
Muromonab	712
Gemtuzumab ozogamicin	712
Basiliximab	712
Alemtuzumab	712
Cetuximab	712
Trastuzumab	712
Ibritumomab tiuxetan	712
Abciximab	712
Palivizumab	712
Natalizumab	712
Efalizumab	712
Tositumomab	712
Etanercept	712
Bevacizumab	712
Alefacept	712
Zinc acetate	713
Basiliximab	713
Bevacizumab	713
Abciximab	713
Gemtuzumab ozogamicin	713
Alemtuzumab	713
Etanercept	713
Efalizumab	713
Tositumomab	713
Muromonab	713
Zinc chloride	713
Zinc	713
Natalizumab	713
Cetuximab	713
Palivizumab	713
Trastuzumab	713
Ibritumomab tiuxetan	713
Alefacept	713
Copper	714
Palivizumab	714
Muromonab	714
Natalizumab	714
Bevacizumab	714
Abciximab	714
Cetuximab	714
Tositumomab	714
Efalizumab	714
Basiliximab	714
Zinc chloride	714
Ibritumomab tiuxetan	714
Trastuzumab	714
Gemtuzumab ozogamicin	714
Etanercept	714
Alefacept	714
Zinc acetate	714
Alemtuzumab	714
Zinc	714
Copper	735
Copper	350
Copper	116844
Ocriplasmin	2335
Zinc acetate	2335
Zinc chloride	2335
Zinc	2335
Tretinoin	5950
Chlorpromazine	5004
Amsacrine	5004
Lidocaine	5004
Thalidomide	5004
Progesterone	5004
Dipyridamole	5004
Zinc	197
Zinc acetate	197
Copper	197
Zinc chloride	197
Zinc	7276
Copper	7276
Zinc chloride	7276
Tafamidis	7276
Zinc acetate	7276
Pyridostigmine	213
Norelgestromin	213
Silver	213
Phenol	213
Amsacrine	213
Cefotaxime	213
Patent Blue	213
Guaiacol	213
Vitamin D	2638
Copper	5473
Drotrecogin alfa	5196
Heparin	5196
Clove oil	3627
Ferrous succinate	7037
Ferrous fumarate	7037
Ferrous ascorbate	7037
Ferric cation	7037
Ferrous gluconate	7037
Iron	7037
Ferrous glycine sulfate	7037
Tetraferric tricitrate decahydrate	7037
Copper	7018
Zinc	7018
Zinc chloride	7018
Ferrous succinate	7018
Iron	7018
Ferrous ascorbate	7018
Ferrous fumarate	7018
Ferrous glycine sulfate	7018
Manganese	7018
Isoflurophate	7018
Zinc acetate	7018
Ferrous gluconate	7018
Aluminum acetate	7018
Aluminium phosphate	7018
Aluminium	7018
Cisplatin	7018
Parecoxib	4057
Lauric acid	4057
Nimesulide	4057
Iron Dextran	2512
Sodium ferric gluconate complex	2512
Ferric pyrophosphate citrate	2512
Ferrous ascorbate	2495
Ferric pyrophosphate citrate	2495
Ferrous fumarate	2495
Iron Dextran	2495
Ferrous gluconate	2495
Iron	2495
Ferrous glycine sulfate	2495
Ferrous succinate	2495
Zinc acetate	4502
Zinc chloride	4502
Silver	4502
Zinc	4502
Phylloquinone	632
Gallium nitrate	632
Menadione	632
Estradiol acetate	2099
Melatonin	2099
Dobutamine	2099
Zinc chloride	2099
Desogestrel	2099
Hexachlorophene	2099
Phenolphthalein	2099
Diethylstilbestrol	2099
Bazedoxifene	2099
Fulvestrant	2099
Estradiol benzoate	2099
Arzoxifene	2099
Mitotane	2099
Testosterone undecanoate	2099
Estrone sulfate	2099
Synthetic Conjugated Estrogens, A	2099
Estradiol cypionate	2099
Tibolone	2099
Permethrin	2099
Estradiol	2099
Ospemifene	2099
Raloxifene	2099
Testosterone cypionate	2099
Methyltestosterone	2099
Levonorgestrel	2099
Testosterone enanthate	2099
Etonogestrel	2099
Clomifene	2099
Ethinylestradiol	2099
Lindane	2099
Prasterone	2099
Homosalate	2099
Estramustine	2099
Estriol	2099
Estradiol dienanthate	2099
Danazol	2099
Oxybenzone	2099
Quinestrol	2099
Tamoxifen	2099
Gestrinone	2099
Lasofoxifene	2099
Medroxyprogesterone acetate	2099
Octocrylene	2099
Norethynodrel	2099
Estradiol valerate	2099
Mestranol	2099
Fluoxymesterone	2099
Zinc acetate	2099
Trilostane	2099
Resveratrol	2099
Toremifene	2099
Progesterone	2099
Eugenol	2099
Synthetic Conjugated Estrogens, B	2099
Naloxone	2099
Zinc	2099
Norgestimate	2099
Enzacamene	2099
Dienestrol	2099
Estrone	2099
Testosterone	2099
Ethynodiol diacetate	2099
Polyestradiol phosphate	2099
Conjugated estrogens	2099
NADH	4535
Sevoflurane	4535
Desflurane	4535
Halothane	4535
Methoxyflurane	4535
NADH	4536
NADH	4537
NADH	4539
NADH	4538
Iodine	4540
